date,cases_new
2021-08-26,24599
2021-08-27,22070
2021-08-28,22597
2021-08-29,20579
2021-08-30,19268
2021-08-31,20897
2021-09-01,18762
2021-09-02,20988
2021-09-03,19378
2021-09-04,19057
2021-09-05,20396
2021-09-06,17352
2021-09-07,18547
2021-09-08,19733
2021-09-09,19307
2021-09-10,21176
2021-09-11,19550
2021-09-12,19198
2021-09-13,16073
2021-09-14,15669
2021-09-15,19495
2021-09-16,18815
2021-09-17,17577
2021-09-18,15549
2021-09-19,14954
2021-09-20,14345
2021-09-21,15759
2021-09-22,14990
2021-09-23,13754
2021-09-24,14554
2021-09-25,13899
2021-09-26,13104
2021-09-27,10959
2021-09-28,11332
2021-09-29,12434
2021-09-30,12735
2021-10-01,11889
2021-10-02,10915
2021-10-03,9066
2021-10-04,8075
2021-10-05,8817
2021-10-06,9380
2021-10-07,9890
2021-10-08,9751
2021-10-09,8743
2021-10-10,7373
2021-10-11,6709
2021-10-12,7276
2021-10-13,7950
2021-10-14,8084
2021-10-15,7420
2021-10-16,7509
2021-10-17,6145
2021-10-18,5434
2021-10-19,5745
2021-10-20,5516
2021-10-21,6210
2021-10-22,6630
2021-10-23,5828
2021-10-24,5666
2021-10-25,4782
2021-10-26,5726
2021-10-27,6148
2021-10-28,6377
2021-10-29,6060
2021-10-30,5854
2021-10-31,4979
2021-11-01,4626
2021-11-02,5071
2021-11-03,5291
2021-11-04,5713
2021-11-05,4922
2021-11-06,4701
2021-11-07,4343
2021-11-08,4543
2021-11-09,5403
2021-11-10,6243
2021-11-11,6323
2021-11-12,6517
2021-11-13,5809
2021-11-14,5162
2021-11-15,5143
2021-11-16,5413
2021-11-17,6288
2021-11-18,6380
2021-11-19,6355
2021-11-20,5859
2021-11-21,4854
2021-11-22,4885
2021-11-23,5594
2021-11-24,5755
2021-11-25,6144
2021-11-26,5501
2021-11-27,5097
2021-11-28,4239
2021-11-29,4087
2021-11-30,4879
2021-12-01,5439
2021-12-02,5806
2021-12-03,5551
2021-12-04,4896
2021-12-05,4298
2021-12-06,4262
2021-12-07,4965
2021-12-08,5020
2021-12-09,5446
2021-12-10,5058
2021-12-11,4626
2021-12-12,3490
2021-12-13,3504
2021-12-14,4097
2021-12-15,3900
2021-12-16,4262
2021-12-17,4362
2021-12-18,4083
2021-12-19,3108
2021-12-20,2589
2021-12-21,3140
2021-12-22,3519
2021-12-23,3510
2021-12-24,3528
2021-12-25,3160
2021-12-26,2778
2021-12-27,2757
2021-12-28,2897
2021-12-29,3683
2021-12-30,3997
2021-12-31,3573
2022-01-01,3386
2022-01-02,2882
2022-01-03,2690
2022-01-04,2842
2022-01-05,3270
2022-01-06,3543
2022-01-07,3381
2022-01-08,3251
2022-01-09,2888
2022-01-10,2641
2022-01-11,3175
2022-01-12,3198
2022-01-13,3684
2022-01-14,3346
2022-01-15,3074
2022-01-16,3010
2022-01-17,2342
2022-01-18,3245
2022-01-19,3229
2022-01-20,3764
2022-01-21,4046
2022-01-22,4116
2022-01-23,3856
2022-01-24,3214
2022-01-25,4066
2022-01-26,4744
2022-01-27,5439
2022-01-28,5522
2022-01-29,5139
2022-01-30,4915
2022-01-31,4774
2022-02-01,5566
2022-02-02,5736
2022-02-03,5720
2022-02-04,7234
2022-02-05,9117
2022-02-06,10089
2022-02-07,11034
2022-02-08,13944
2022-02-09,17134
2022-02-10,19090
2022-02-11,20939
2022-02-12,22802
2022-02-13,21072
2022-02-14,21315
2022-02-15,22133
2022-02-16,27831
2022-02-17,26701
2022-02-18,27808
2022-02-19,28825
2022-02-20,26832
2022-02-21,25099
2022-02-22,27179
2022-02-23,31199
2022-02-24,32070
2022-02-25,30644
2022-02-26,27299
